Spongebob_squarepants	[20130603,20130612,20130604,20130613,20130605,20130614,20130610,20130601,20130607,20130608,20130609,20130611,20130602,20130615,20130606]	[84,78,111,81,104,64,99,131,93,100,124,104,142,73,80]	1468	-22
Hotelling%27s_T-squared_distribution	[20130604,20130613,20130609,20130614,20130605,20130608,20130602,20130611,20130606,20130615,20130601,20130610,20130612,20130603,20130607]	[142,144,43,108,97,54,68,144,100,40,53,130,112,116,87]	1438	112
Lack-of-fit_sum_of_squares	[20130608,20130615,20130606,20130612,20130603,20130611,20130602,20130605,20130614,20130613,20130604,20130609,20130607,20130610,20130601]	[36,55,124,126,115,102,71,135,93,100,122,72,89,125,55]	1420	-2
Unsquare_Dance	[20130601,20130610,20130606,20130615,20130609,20130603,20130612,20130608,20130613,20130604,20130602,20130611,20130605,20130614,20130607]	[98,108,109,59,78,131,68,77,106,117,96,97,75,74,72]	1365	-31
Pike_square	[20130608,20130607,20130603,20130612,20130611,20130602,20130615,20130606,20130614,20130605,20130610,20130601,20130613,20130604,20130609]	[62,71,102,83,90,128,55,95,90,71,76,181,77,80,73]	1334	-122
Fermat%27s_theorem_on_sums_of_two_squares	[20130611,20130602,20130613,20130604,20130612,20130603,20130608,20130610,20130601,20130609,20130605,20130614,20130615,20130606,20130607]	[94,64,109,71,96,69,69,95,62,79,99,83,80,132,127]	1329	81
Speed_square	[20130605,20130614,20130602,20130611,20130606,20130615,20130601,20130610,20130609,20130604,20130613,20130608,20130607,20130612,20130603]	[111,89,80,78,94,69,71,91,87,96,107,64,78,91,105]	1311	41
Mean_squared_displacement	[20130607,20130615,20130606,20130609,20130608,20130614,20130605,20130610,20130601,20130613,20130604,20130612,20130603,20130611,20130602]	[76,39,114,49,29,76,144,93,40,107,133,106,114,115,60]	1295	-67
Marching_squares	[20130604,20130613,20130605,20130614,20130609,20130610,20130601,20130606,20130615,20130607,20130603,20130612,20130608,20130602,20130611]	[143,83,88,75,52,103,69,90,42,104,111,86,67,68,83]	1264	-82
Lagrange%27s_four-square_theorem	[20130614,20130605,20130613,20130604,20130607,20130609,20130603,20130612,20130601,20130610,20130602,20130611,20130608,20130615,20130606]	[74,76,85,76,96,88,80,79,63,103,69,118,88,55,109]	1259	121
Chi-square_distribution	[20130609,20130605,20130614,20130608,20130601,20130610,20130602,20130611,20130603,20130612,20130607,20130606,20130615,20130604,20130613]	[78,90,83,56,65,109,54,79,93,98,83,97,49,113,110]	1257	67
Partition_of_sums_of_squares	[20130608,20130613,20130604,20130601,20130610,20130614,20130605,20130603,20130612,20130609,20130615,20130606,20130607,20130611,20130602]	[53,105,82,55,84,69,86,95,91,58,33,74,91,80,49]	1105	41
Mean_squared_prediction_error	[20130612,20130603,20130606,20130615,20130607,20130605,20130614,20130601,20130610,20130602,20130611,20130608,20130604,20130613,20130609]	[99,64,88,37,74,91,63,40,103,45,82,39,68,77,52]	1022	82
Foursquare_(service)	[20130602,20130611,20130610,20130601,20130614,20130605,20130612,20130603,20130604,20130613,20130608,20130609,20130607,20130606,20130615]	[52,58,89,66,72,70,72,75,89,74,43,63,64,61,46]	994	40
Tiananmen_square	[20130609,20130604,20130613,20130607,20130615,20130606,20130608,20130605,20130614,20130603,20130612,20130602,20130611,20130601,20130610]	[25,312,34,30,17,69,26,223,22,81,25,45,24,20,26]	979	-581
Root_mean_square_deviation	[20130607,20130604,20130613,20130606,20130615,20130605,20130614,20130612,20130603,20130609,20130610,20130601,20130611,20130602,20130608]	[70,82,72,101,33,77,63,81,53,35,89,40,83,41,32]	952	24
Townsquare_Media	[20130609,20130608,20130614,20130605,20130613,20130604,20130607,20130615,20130606,20130602,20130611,20130610,20130601,20130603,20130612]	[39,49,40,52,64,118,60,32,69,25,64,62,27,160,61]	922	-100
Weighted_least_squares	[20130609,20130611,20130602,20130604,20130613,20130607,20130612,20130603,20130615,20130606,20130614,20130605,20130608,20130601,20130610]	[28,75,36,73,73,65,94,68,30,76,70,91,33,26,72]	910	40
Least-squares_spectral_analysis	[20130608,20130601,20130610,20130605,20130614,20130604,20130613,20130606,20130615,20130602,20130611,20130607,20130609,20130603,20130612]	[31,37,70,72,66,73,75,88,31,38,66,76,51,74,58]	906	-10
Mean_square_error	[20130601,20130610,20130606,20130615,20130602,20130611,20130603,20130612,20130609,20130608,20130604,20130613,20130607,20130605,20130614]	[35,67,76,50,46,71,72,63,46,30,80,62,53,69,59]	879	17
R-squared	[20130602,20130611,20130612,20130603,20130613,20130604,20130607,20130615,20130606,20130608,20130609,20130601,20130610,20130614,20130605]	[36,70,67,83,56,89,64,28,67,30,41,33,77,53,72]	866	-22
Roman_square_capitals	[20130606,20130615,20130608,20130605,20130614,20130603,20130612,20130601,20130610,20130609,20130607,20130613,20130604,20130602,20130611]	[76,38,51,41,41,72,64,53,51,48,56,56,77,58,54]	836	-30
Sum_of_squares_(statistics)	[20130608,20130607,20130609,20130604,20130613,20130615,20130606,20130605,20130614,20130611,20130602,20130601,20130610,20130612,20130603]	[40,60,49,77,67,33,57,85,49,63,44,26,64,49,60]	823	5
Tsquared	[20130607,20130615,20130606,20130612,20130603,20130614,20130605,20130613,20130604,20130610,20130601,20130608,20130602,20130611,20130609]	[55,42,53,59,58,59,62,58,60,72,38,58,33,45,59]	811	93
Word_square	[20130606,20130615,20130608,20130602,20130611,20130604,20130613,20130610,20130601,20130607,20130603,20130612,20130609,20130605,20130614]	[59,53,42,60,42,62,50,80,37,37,77,62,34,49,47]	791	29
Machinist_square	[20130602,20130611,20130609,20130608,20130606,20130615,20130607,20130605,20130614,20130613,20130604,20130601,20130610,20130612,20130603]	[27,53,25,43,79,35,48,54,54,68,38,27,65,96,70]	782	96
Mandarin_square	[20130609,20130608,20130614,20130605,20130606,20130615,20130613,20130604,20130612,20130603,20130611,20130602,20130601,20130610,20130607]	[44,29,44,69,44,28,40,87,69,56,52,61,42,48,49]	762	-54
Integer_square_root	[20130608,20130615,20130606,20130601,20130610,20130602,20130611,20130609,20130613,20130604,20130614,20130605,20130612,20130603,20130607]	[43,37,58,47,59,45,58,45,67,55,54,51,53,32,57]	761	71
Times_square	[20130611,20130602,20130614,20130605,20130613,20130604,20130609,20130608,20130606,20130615,20130603,20130612,20130607,20130601,20130610]	[63,50,29,52,43,69,55,30,71,27,67,43,44,60,58]	761	-65
Inverse_square_law	[20130612,20130603,20130607,20130611,20130602,20130610,20130601,20130606,20130615,20130614,20130605,20130604,20130613,20130608,20130609]	[43,53,37,56,45,50,42,47,30,45,65,51,59,40,56]	719	39
