Taylor_Hayes_(entertainer)	[20130607,20130602,20130611,20130613,20130604,20130612,20130603,20130614,20130605,20130610,20130601,20130608,20130609,20130606,20130615]	[195,200,179,176,216,200,222,186,189,189,210,207,171,189,172]	2901	59
Miriam_(entertainer)	[20130608,20130610,20130601,20130612,20130603,20130613,20130604,20130607,20130605,20130614,20130615,20130606,20130609,20130611,20130602]	[178,217,156,249,245,197,196,171,170,178,170,183,174,211,205]	2900	248
Peter_Marshall_(entertainer)	[20130601,20130610,20130611,20130602,20130609,20130607,20130615,20130606,20130608,20130614,20130605,20130604,20130613,20130603,20130612]	[152,186,236,303,387,193,135,148,146,131,129,145,192,236,133]	2852	240
Samwell_(entertainer)	[20130609,20130608,20130607,20130615,20130606,20130614,20130605,20130603,20130612,20130604,20130613,20130611,20130602,20130610,20130601]	[165,237,177,186,223,167,177,196,178,238,171,209,173,198,146]	2841	181
Doc_Brown_(entertainer)	[20130608,20130609,20130607,20130615,20130606,20130610,20130601,20130613,20130604,20130614,20130605,20130612,20130603,20130602,20130611]	[185,206,153,136,151,191,283,170,176,122,199,187,191,273,182]	2805	-47
Bebe_(entertainer)	[20130611,20130602,20130603,20130612,20130601,20130610,20130607,20130615,20130606,20130608,20130609,20130605,20130614,20130604,20130613]	[183,131,187,132,158,200,168,222,174,133,131,152,215,174,178]	2538	250
Joe_Cornish_(entertainer)	[20130605,20130614,20130603,20130612,20130610,20130601,20130608,20130611,20130602,20130609,20130607,20130604,20130613,20130606,20130615]	[164,139,194,158,174,163,102,142,200,152,143,166,155,150,159]	2361	1
Aja_(entertainer)	[20130607,20130603,20130612,20130608,20130606,20130615,20130602,20130611,20130609,20130610,20130601,20130613,20130604,20130605,20130614]	[141,199,156,139,152,145,170,155,215,169,136,154,151,135,127]	2344	176
List_of_British_Jewish_entertainers	[20130604,20130613,20130603,20130612,20130605,20130614,20130608,20130607,20130601,20130610,20130606,20130615,20130611,20130602,20130609]	[212,108,190,181,138,110,82,156,157,227,90,200,141,97,140]	2229	149
Jamie_Walters_(American_entertainer)	[20130615,20130606,20130608,20130609,20130601,20130610,20130605,20130614,20130602,20130611,20130607,20130603,20130612,20130604,20130613]	[135,149,151,115,124,144,154,142,149,124,122,151,160,119,210]	2149	213
Chris_Brown_%28American_entertainer%29	[20130601,20130610,20130606,20130615,20130607,20130608,20130609,20130604,20130613,20130614,20130605,20130603,20130612,20130611,20130602]	[138,134,134,137,154,121,176,116,134,148,119,127,124,154,124]	2040	216
Echo_Valley_(entertainer)	[20130612,20130603,20130604,20130613,20130608,20130601,20130610,20130614,20130605,20130609,20130607,20130611,20130602,20130606,20130615]	[112,151,162,131,132,110,144,131,133,123,104,122,128,133,157]	1973	131
August_(entertainer)	[20130603,20130612,20130604,20130613,20130611,20130602,20130609,20130608,20130606,20130615,20130610,20130601,20130607,20130614,20130605]	[163,118,138,132,125,128,143,151,105,119,136,126,121,131,129]	1965	145
